date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220103,CALL,15:52:00,15:59:00,4794.62,4795.94,4795,4800,9,1.4,0.4,882.0,1,0,50882.0,16.6,"vix1550=16.8,dist=0,TOUCH@15:59"
20220103,PUT,15:52:00,16:00:00,4794.62,4796.59,4790,4785,5,0.5,0.0,240.0,1,0,51122.0,16.6,"vix1550=16.8,dist=0"
20220107,PUT,15:52:00,15:59:00,4685.93,4676.51,4680,4675,5,0.35,1.4,-535.0,0,1,50587.0,18.76,"vix1550=18.7,dist=5,TOUCH@15:59"
20220107,CALL,15:52:00,16:00:00,4685.93,4677.02,4695,4700,3,0.1,0.0,24.0,1,0,50611.0,18.76,"vix1550=18.7,dist=5"
20220112,PUT,15:52:00,15:55:00,4730.26,4728.94,4730,4725,9,1.35,1.7,-333.0,0,1,50278.0,17.62,"vix1550=17.7,dist=0,TOUCH@15:55"
20220112,CALL,15:52:00,16:00:00,4730.26,4726.43,4735,4740,8,0.7,0.0,544.0,1,0,50822.0,17.62,"vix1550=17.7,dist=0"
20220114,CALL,15:52:00,16:00:00,4659.13,4662.82,4665,4670,8,0.7,0.0,544.0,1,0,51366.0,19.19,"vix1550=19.2,dist=3"
20220114,PUT,15:52:00,16:00:00,4659.13,4662.82,4655,4650,8,0.9,0.0,704.0,1,0,52070.0,19.19,"vix1550=19.2,dist=3"
20220118,PUT,15:52:00,15:54:00,4577.65,4568.97,4570,4565,8,0.65,1.15,-416.0,0,1,51654.0,22.79,"vix1550=22.6,dist=7,TOUCH@15:54"
20220118,CALL,15:52:00,16:00:00,4577.65,4577.34,4585,4590,7,0.6,0.0,406.0,1,0,52060.0,22.79,"vix1550=22.6,dist=7"
20220119,CALL,15:52:00,16:00:00,4545.42,4532.89,4555,4560,5,0.35,0.0,165.0,1,0,52225.0,23.85,"vix1550=23.5,dist=7"
20220202,CALL,15:52:00,16:00:00,4588.13,4589.31,4595,4600,8,0.75,0.0,584.0,1,0,52809.0,22.09,"vix1550=20.6,dist=3"
20220202,PUT,15:52:00,16:00:00,4588.13,4589.31,4585,4580,8,1.1,0.0,864.0,1,0,53673.0,22.09,"vix1550=20.6,dist=3"
20220204,PUT,15:52:00,15:59:00,4512.46,4499.81,4505,4500,7,0.6,1.75,-819.0,0,1,52854.0,23.22,"vix1550=22.8,dist=7,TOUCH@15:59"
20220204,CALL,15:52:00,16:00:00,4512.46,4500.61,4520,4525,8,0.8,0.0,624.0,1,0,53478.0,23.22,"vix1550=22.8,dist=7"
20220216,CALL,15:52:00,16:00:00,4484.48,4475.1,4495,4500,3,0.2,0.0,54.0,1,0,53532.0,24.29,"vix1550=24.0,dist=7"
20220216,PUT,15:52:00,16:00:00,4484.48,4475.1,4475,4470,3,0.15,0.0,39.0,1,0,53571.0,24.29,"vix1550=24.0,dist=7"
20220318,CALL,15:52:00,16:00:00,4457.28,4463.08,4465,4470,7,0.55,0.0,371.0,1,0,53942.0,23.87,"vix1550=24.0,dist=7"
20220318,PUT,15:52:00,16:00:00,4457.28,4463.08,4450,4445,7,0.6,0.0,406.0,1,0,54348.0,23.87,"vix1550=24.0,dist=7"
20220321,CALL,15:52:00,15:58:00,4451.68,4460.35,4460,4465,5,0.35,0.7,-185.0,0,1,54163.0,23.53,"vix1550=24.4,dist=7,TOUCH@15:58"
20220321,PUT,15:52:00,16:00:00,4451.68,4461.18,4440,4435,3,0.15,0.0,39.0,1,0,54202.0,23.53,"vix1550=24.4,dist=7"
20220325,CALL,15:52:00,15:59:00,4532.09,4543.05,4540,4545,5,0.4,0.95,-285.0,0,1,53917.0,20.81,"vix1550=21.1,dist=3,TOUCH@15:59"
20220325,PUT,15:52:00,16:00:00,4532.09,4543.06,4525,4520,5,0.35,0.0,165.0,1,0,54082.0,20.81,"vix1550=21.1,dist=3"
20220328,CALL,15:52:00,15:57:00,4562.55,4571.42,4570,4575,5,0.3,1.35,-535.0,0,1,53547.0,19.63,"vix1550=20.0,dist=3,TOUCH@15:57"
20220328,PUT,15:52:00,16:00:00,4562.55,4575.49,4555,4550,5,0.35,0.0,165.0,1,0,53712.0,19.63,"vix1550=20.0,dist=3"
20220404,CALL,15:52:00,16:00:00,4582.55,4582.62,4590,4595,5,0.3,0.0,140.0,1,0,53852.0,18.57,"vix1550=18.7,dist=3"
20220404,PUT,15:52:00,16:00:00,4582.55,4582.62,4575,4570,3,0.1,0.0,24.0,1,0,53876.0,18.57,"vix1550=18.7,dist=3"
20220406,CALL,15:52:00,16:00:00,4487.05,4481.26,4495,4500,8,0.8,0.0,624.0,1,0,54500.0,22.1,"vix1550=22.0,dist=7"
20220406,PUT,15:52:00,16:00:00,4487.05,4481.26,4480,4475,8,0.85,0.0,664.0,1,0,55164.0,22.1,"vix1550=22.0,dist=7"
20220408,CALL,15:52:00,16:00:00,4487.47,4488.68,4495,4500,5,0.35,0.0,165.0,1,0,55329.0,21.16,"vix1550=21.4,dist=3"
20220408,PUT,15:52:00,16:00:00,4487.47,4488.68,4480,4475,7,0.6,0.0,406.0,1,0,55735.0,21.16,"vix1550=21.4,dist=3"
20220411,CALL,15:52:00,16:00:00,4413.85,4412.83,4420,4425,5,0.5,0.0,240.0,1,0,55975.0,24.37,"vix1550=24.0,dist=3"
20220411,PUT,15:52:00,16:00:00,4413.85,4412.83,4410,4405,8,0.95,0.0,744.0,1,0,56719.0,24.37,"vix1550=24.0,dist=3"
20220413,CALL,15:52:00,16:00:00,4449.52,4446.67,4455,4460,5,0.45,0.0,215.0,1,0,56934.0,21.82,"vix1550=21.6,dist=5"
20220414,CALL,15:52:00,16:00:00,4395.91,4392.62,4405,4410,5,0.25,0.0,115.0,1,0,57049.0,22.7,"vix1550=22.3,dist=7"
20220414,PUT,15:52:00,16:00:00,4395.91,4392.62,4385,4380,5,0.25,0.0,115.0,1,0,57164.0,22.7,"vix1550=22.3,dist=7"
20220418,CALL,15:52:00,15:55:00,4372.73,4383.5,4380,4385,5,0.4,1.5,-560.0,0,1,56604.0,22.17,"vix1550=23.0,dist=5,TOUCH@15:55"
20220418,PUT,15:52:00,16:00:00,4372.73,4391.81,4365,4360,5,0.45,0.0,215.0,1,0,56819.0,22.17,"vix1550=23.0,dist=5"
20220527,CALL,15:52:00,15:59:00,4145.1,4158.34,4155,4160,3,0.2,1.5,-396.0,0,1,56423.0,25.72,"vix1550=25.8,dist=7,TOUCH@15:59"
20220527,PUT,15:52:00,16:00:00,4145.1,4158.27,4135,4130,3,0.2,0.0,54.0,1,0,56477.0,25.72,"vix1550=25.8,dist=7"
20220601,PUT,15:52:00,15:54:00,4118.1,4108.93,4110,4105,5,0.4,1.65,-635.0,0,1,55842.0,25.69,"vix1550=25.5,dist=7,TOUCH@15:54"
20220601,CALL,15:52:00,16:00:00,4118.1,4101.18,4130,4135,3,0.15,0.0,39.0,1,0,55881.0,25.69,"vix1550=25.5,dist=7"
20220602,CALL,15:52:00,15:56:00,4168.17,4176.33,4175,4180,5,0.4,1.25,-435.0,0,1,55446.0,24.72,"vix1550=24.7,dist=5,TOUCH@15:56"
20220602,PUT,15:52:00,16:00:00,4168.17,4176.89,4160,4155,5,0.2,0.0,90.0,1,0,55536.0,24.72,"vix1550=24.7,dist=5"
20220603,CALL,15:52:00,16:00:00,4106.71,4108.44,4115,4120,5,0.5,0.0,240.0,1,0,55776.0,24.79,"vix1550=25.3,dist=5"
20220603,PUT,15:52:00,16:00:00,4106.71,4108.44,4100,4095,8,0.75,0.0,584.0,1,0,56360.0,24.79,"vix1550=25.3,dist=5"
20220606,CALL,15:52:00,16:00:00,4121.35,4121.32,4130,4135,5,0.4,0.0,190.0,1,0,56550.0,25.07,"vix1550=25.1,dist=7"
20220606,PUT,15:52:00,16:00:00,4121.35,4121.32,4110,4105,5,0.25,0.0,115.0,1,0,56665.0,25.07,"vix1550=25.1,dist=7"
20220607,CALL,15:52:00,16:00:00,4161.65,4160.54,4170,4175,3,0.1,0.0,24.0,1,0,56689.0,24.02,"vix1550=23.9,dist=5"
20220607,PUT,15:52:00,16:00:00,4161.65,4160.54,4155,4150,5,0.3,0.0,140.0,1,0,56829.0,24.02,"vix1550=23.9,dist=5"
20220608,CALL,15:52:00,16:00:00,4114.89,4115.72,4120,4125,8,0.65,0.0,504.0,1,0,57333.0,23.96,"vix1550=24.1,dist=5"
20220608,PUT,15:52:00,16:00:00,4114.89,4115.72,4105,4100,3,0.2,0.0,54.0,1,0,57387.0,23.96,"vix1550=24.1,dist=5"
20220707,CALL,15:52:00,16:00:00,3901.42,3902.43,3910,3915,5,0.25,0.0,115.0,1,0,57502.0,26.08,"vix1550=25.8,dist=7"
20220708,CALL,15:52:00,16:00:00,3900.96,3899.37,3910,3915,3,0.1,0.0,24.0,1,0,57526.0,24.64,"vix1550=24.7,dist=5"
20220708,PUT,15:52:00,16:00:00,3900.96,3899.37,3895,3890,5,0.45,0.0,215.0,1,0,57741.0,24.64,"vix1550=24.7,dist=5"
20220715,CALL,15:52:00,15:55:00,3850.8,3858.38,3855,3860,7,0.55,1.65,-784.0,0,1,56957.0,24.23,"vix1550=24.5,dist=3,TOUCH@15:55"
20220715,PUT,15:52:00,16:00:00,3850.8,3862.89,3845,3840,5,0.35,0.0,165.0,1,0,57122.0,24.23,"vix1550=24.5,dist=3"
20220719,PUT,15:52:00,16:00:00,3934.66,3936.14,3925,3920,3,0.15,0.0,39.0,1,0,57161.0,24.5,"vix1550=24.6,dist=7"
20220720,CALL,15:52:00,16:00:00,3966.67,3959.95,3975,3980,3,0.15,0.0,39.0,1,0,57200.0,23.88,"vix1550=23.7,dist=5"
20220720,PUT,15:52:00,16:00:00,3966.67,3959.95,3960,3955,5,0.4,0.05,165.0,1,0,57365.0,23.88,"vix1550=23.7,dist=5"
20220721,CALL,15:52:00,16:00:00,3993.07,3999.1,4000,4005,5,0.35,0.0,165.0,1,0,57530.0,23.11,"vix1550=23.1,dist=5"
20220721,PUT,15:52:00,16:00:00,3993.07,3999.1,3985,3980,3,0.1,0.0,24.0,1,0,57554.0,23.11,"vix1550=23.1,dist=5"
20220725,PUT,15:52:00,16:00:00,3962.17,3966.72,3955,3950,3,0.2,0.0,54.0,1,0,57608.0,23.36,"vix1550=23.5,dist=3"
20220726,CALL,15:52:00,16:00:00,3917.83,3920.85,3925,3930,5,0.4,0.0,190.0,1,0,57798.0,24.69,"vix1550=25.1,dist=3"
20220726,PUT,15:52:00,16:00:00,3917.83,3920.85,3910,3905,5,0.3,0.0,140.0,1,0,57938.0,24.69,"vix1550=25.1,dist=3"
20220728,CALL,15:52:00,16:00:00,4074.36,4072.17,4080,4085,3,0.15,0.0,39.0,1,0,57977.0,22.33,"vix1550=22.4,dist=5"
20220729,PUT,15:52:00,15:53:00,4138.89,4132.96,4135,4130,8,0.8,1.45,-536.0,0,1,57441.0,21.33,"vix1550=21.5,dist=3,TOUCH@15:53"
20220729,CALL,15:52:00,16:00:00,4138.89,4130.44,4145,4150,5,0.45,0.0,215.0,1,0,57656.0,21.33,"vix1550=21.5,dist=3"
20220801,PUT,15:52:00,16:00:00,4120.75,4118.62,4115,4110,5,0.3,0.0,140.0,1,0,57796.0,22.84,"vix1550=22.9,dist=5"
20220802,CALL,15:52:00,16:00:00,4096.68,4091.36,4105,4110,3,0.2,0.0,54.0,1,0,57850.0,23.93,"vix1550=23.7,dist=5"
20220803,CALL,15:52:00,16:00:00,4162.74,4155.12,4170,4175,5,0.25,0.0,115.0,1,0,57965.0,21.95,"vix1550=21.8,dist=3"
20220803,PUT,15:52:00,16:00:00,4162.74,4155.12,4155,4150,3,0.1,0.0,24.0,1,0,57989.0,21.95,"vix1550=21.8,dist=3"
20220805,CALL,15:52:00,16:00:00,4144.13,4145.07,4150,4155,3,0.1,0.0,24.0,1,0,58013.0,21.15,"vix1550=20.8,dist=3"
20220805,PUT,15:52:00,16:00:00,4144.13,4145.07,4140,4135,5,0.35,0.0,165.0,1,0,58178.0,21.15,"vix1550=20.8,dist=3"
20220808,CALL,15:52:00,16:00:00,4141.22,4140.05,4145,4150,5,0.4,0.0,190.0,1,0,58368.0,21.29,"vix1550=21.4,dist=3"
20220808,PUT,15:52:00,16:00:00,4141.22,4140.05,4135,4130,5,0.25,0.0,115.0,1,0,58483.0,21.29,"vix1550=21.4,dist=3"
20220810,CALL,15:52:00,15:56:00,4207.69,4210.14,4210,4215,7,0.6,0.85,-189.0,0,1,58294.0,19.74,"vix1550=19.8,dist=1,TOUCH@15:56"
20220810,PUT,15:52:00,16:00:00,4207.69,4210.12,4205,4200,8,0.65,0.0,504.0,1,0,58798.0,19.74,"vix1550=19.8,dist=1"
20220811,CALL,15:52:00,16:00:00,4205.74,4207.34,4210,4215,3,0.15,0.0,39.0,1,0,58837.0,20.2,"vix1550=20.4,dist=3"
20220811,PUT,15:52:00,16:00:00,4205.74,4207.34,4200,4195,3,0.1,0.0,24.0,1,0,58861.0,20.2,"vix1550=20.4,dist=3"
20220812,CALL,15:52:00,16:00:00,4273.64,4279.95,4280,4285,3,0.15,0.0,39.0,1,0,58900.0,19.53,"vix1550=19.3,dist=3"
20220812,PUT,15:52:00,16:00:00,4273.64,4279.95,4270,4265,5,0.45,0.0,215.0,1,0,59115.0,19.53,"vix1550=19.3,dist=3"
20220815,CALL,15:52:00,16:00:00,4299.57,4297.14,4305,4310,5,0.25,0.0,115.0,1,0,59230.0,19.95,"vix1550=20.0,dist=3"
