entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20220114,15:55:00,PUT,4650,4630,20.0,0.15,0.2,0.25,0.0,0.05,15,20.31,13.5,0.0,195.0,WIN,16:00:00,4663.47,4662.82,100195.0
20220118,15:55:00,PUT,4555,4535,20.0,0.1,0.15,0.3,0.0,0.05,15,19.19,14.3,0.0,120.0,WIN,16:00:00,4569.34,4577.34,100315.0
20220318,15:55:00,PUT,4445,4425,20.0,0.05,0.1,0.2,0.0,0.05,15,25.67,15.3,0.0,45.0,WIN,16:00:00,4460.3,4463.08,100360.0
20221115,15:55:00,PUT,3970,3950,20.0,0.1,0.15,0.2,0.0,0.05,15,23.73,15.9,0.0,120.0,WIN,16:00:00,3985.86,3991.91,100480.0
20230203,15:55:00,PUT,4125,4105,20.0,0.05,0.1,0.15,0.0,0.05,15,18.73,12.6,0.0,45.0,WIN,16:00:00,4137.61,4136.42,100525.0
20230707,15:55:00,PUT,4390,4370,20.0,0.1,0.15,0.2,0.0,0.05,15,15.44,12.0,0.0,120.0,WIN,16:00:00,4402.0,4399.04,100645.0
20231114,15:55:00,PUT,4480,4460,20.0,0.05,0.1,0.15,0.0,0.05,15,14.76,13.2,0.0,45.0,WIN,16:00:00,4493.2,4495.54,100690.0
20231229,15:55:00,CALL,4780,4800,20.0,0.05,0.1,0.15,0.0,0.05,15,12.47,14.4,0.0,45.0,WIN,16:00:00,4765.57,4769.89,100735.0
20240216,15:55:00,PUT,4990,4970,20.0,0.05,0.1,0.15,0.0,0.05,15,14.01,15.1,0.0,45.0,WIN,16:00:00,5005.06,5005.55,100780.0
20240531,15:55:00,PUT,5250,5230,20.0,0.1,0.15,0.2,0.0,0.05,15,14.47,16.4,0.0,120.0,WIN,16:00:00,5266.41,5277.8,100900.0
20240607,15:55:00,PUT,5335,5315,20.0,0.05,0.1,0.15,0.0,0.05,15,12.58,12.9,0.0,45.0,WIN,16:00:00,5347.91,5347.01,100945.0
20240628,15:55:00,PUT,5450,5430,20.0,0.25,0.3,0.4,0.0,0.05,15,12.24,15.3,0.0,345.0,WIN,16:00:00,5465.3,5460.71,101290.0
20240712,15:55:00,PUT,5610,5590,20.0,0.15,0.2,0.3,0.0,0.05,15,12.92,12.4,0.0,195.0,WIN,16:00:00,5622.39,5615.39,101485.0
20240715,15:55:00,CALL,5640,5660,20.0,0.05,0.1,0.15,0.0,0.05,15,12.46,13.8,0.0,45.0,WIN,16:00:00,5626.22,5631.25,101530.0
20240716,15:55:00,PUT,5655,5635,20.0,0.05,0.1,0.15,0.0,0.05,15,13.12,12.6,0.0,45.0,WIN,16:00:00,5667.65,5667.21,101575.0
20240820,15:55:00,CALL,5610,5630,20.0,0.05,0.1,0.15,0.0,0.05,15,14.65,12.3,0.0,45.0,WIN,16:00:00,5597.69,5597.09,101620.0
20240823,15:55:00,CALL,5650,5670,20.0,0.05,0.1,0.15,0.0,0.05,15,17.55,14.3,0.0,45.0,WIN,16:00:00,5635.73,5634.61,101665.0
20240830,15:55:00,PUT,5630,5610,20.0,0.3,0.35,0.4,0.0,0.05,15,15.65,13.7,0.0,420.0,WIN,16:00:00,5643.69,5648.21,102085.0
20240903,15:55:00,PUT,5505,5485,20.0,0.45,0.55,0.7,0.05,0.1,15,15.0,13.5,0.0,645.0,WIN,16:00:00,5518.48,5528.94,102730.0
20240906,15:55:00,PUT,5395,5375,20.0,0.25,0.3,0.35,0.0,0.05,15,19.9,15.4,0.0,345.0,WIN,16:00:00,5410.38,5408.52,103075.0
20240913,15:55:00,PUT,5615,5595,20.0,0.05,0.1,0.15,0.0,0.05,15,17.07,13.0,0.0,45.0,WIN,16:00:00,5627.97,5626.03,103120.0
20240930,15:55:00,PUT,5740,5720,20.0,0.2,0.3,0.4,0.05,0.1,15,16.96,16.5,0.0,270.0,WIN,16:00:00,5756.53,5762.4,103390.0
20241001,15:55:00,PUT,5695,5675,20.0,0.2,0.25,0.35,0.0,0.05,15,16.73,12.5,0.0,270.0,WIN,16:00:00,5707.52,5708.72,103660.0
20241011,15:55:00,PUT,5805,5785,20.0,0.05,0.1,0.15,0.0,0.05,15,20.93,13.2,0.0,45.0,WIN,16:00:00,5818.19,5815.04,103705.0
20241025,15:55:00,PUT,5795,5775,20.0,0.05,0.1,0.15,0.0,0.05,15,19.08,14.3,0.0,45.0,WIN,16:00:00,5809.26,5808.13,103750.0
20241115,15:55:00,PUT,5860,5840,20.0,0.05,0.1,0.15,0.0,0.05,15,14.31,14.0,0.0,45.0,WIN,16:00:00,5873.99,5870.62,103795.0
20241227,15:55:00,PUT,5955,5935,20.0,0.1,0.15,0.25,0.0,0.05,15,14.73,14.9,0.0,120.0,WIN,16:00:00,5969.87,5970.86,103915.0
20250107,15:55:00,PUT,5895,5875,20.0,0.2,0.25,0.35,0.0,0.05,15,16.04,12.8,0.0,270.0,WIN,16:00:00,5907.75,5909.04,104185.0
20250127,15:55:00,PUT,5985,5965,20.0,0.15,0.2,0.25,0.0,0.05,15,14.85,14.3,0.0,195.0,WIN,16:00:00,5999.29,6012.31,104380.0
20250131,15:55:00,PUT,6025,6005,20.0,0.55,0.6,0.65,0.0,0.05,15,15.84,14.4,0.0,795.0,WIN,16:00:00,6039.4,6040.46,105175.0
20250203,15:55:00,PUT,5985,5965,20.0,0.1,0.15,0.2,0.0,0.05,15,16.43,16.7,0.0,120.0,WIN,16:00:00,6001.67,5994.63,105295.0
20250207,15:55:00,PUT,6015,5995,20.0,0.05,0.1,0.15,0.0,0.05,15,15.5,13.6,0.0,45.0,WIN,16:00:00,6028.62,6025.99,105340.0
20250221,15:55:00,PUT,6005,5985,20.0,0.05,0.1,0.2,0.0,0.05,15,15.66,12.6,0.0,45.0,WIN,16:00:00,6017.61,6013.23,105385.0
20250428,15:55:00,PUT,5525,5505,20.0,0.05,0.1,0.2,0.0,0.05,15,24.84,12.2,0.0,45.0,WIN,16:00:00,5537.22,5528.71,105430.0
20250502,15:55:00,PUT,5675,5655,20.0,0.2,0.25,0.35,0.0,0.05,15,24.6,13.9,0.0,270.0,WIN,16:00:00,5688.85,5686.63,105700.0
20250505,15:55:00,PUT,5640,5620,20.0,0.1,0.15,0.25,0.0,0.05,15,22.68,12.2,0.0,120.0,WIN,16:00:00,5652.23,5650.59,105820.0
20250506,15:55:00,PUT,5605,5585,20.0,0.15,0.2,0.3,0.0,0.05,15,23.64,12.1,0.0,195.0,WIN,16:00:00,5617.14,5606.84,106015.0
20250509,15:55:00,CALL,5680,5700,20.0,0.05,0.1,0.2,0.0,0.05,15,22.48,14.5,0.0,45.0,WIN,16:00:00,5665.48,5659.91,106060.0
20250512,15:55:00,CALL,5850,5870,20.0,0.15,0.2,0.3,0.0,0.05,15,21.9,13.0,0.0,195.0,WIN,16:00:00,5836.97,5844.17,106255.0
